.text _start
_start __libc_start_main@plt
__libc_start_main@plt .plt
.plt _dl_find_dso_for_object
__libc_start_main __libc_csu_init
__libc_csu_init __x86.get_pc_thunk.bx
__libc_csu_init _init
_init __x86.get_pc_thunk.bx
__libc_csu_init frame_dummy
$__JCR_END__ frame_dummy
frame_dummy register_tm_clones
__libc_start_main main
main ptimer_new
ptimer_new xcalloc
xcalloc calloc@plt
calloc@plt .plt
.plt _dl_find_dso_for_object
$init_done.5418 ptimer_new
ptimer_new $init_done.5418
ptimer_new posix_init
$clocks.5393 posix_init
$clocks.5393 posix_init
posix_init sysconf@plt
sysconf@plt .plt
.plt _dl_find_dso_for_object
$clocks.5393 posix_init
posix_init clock_getres@plt
clock_getres@plt .plt
.plt _dl_find_dso_for_object
$clocks.5393 posix_init
posix_init $posix_clock_id
posix_init $posix_clock_resolution
$posix_clock_resolution posix_init
ptimer_new ptimer_reset
ptimer_reset posix_measure
$posix_clock_id posix_measure
posix_measure clock_gettime@plt
clock_gettime@plt .plt
.plt _dl_find_dso_for_object
main ptimer_measure
ptimer_measure posix_measure
$posix_clock_id posix_measure
posix_measure clock_gettime@plt
clock_gettime@plt clock_gettime
ptimer_measure posix_diff
main $total_downloaded_bytes
main $total_downloaded_bytes
main $program_name
main i18n_initialize
i18n_initialize setlocale@plt
setlocale@plt .plt
.plt _dl_find_dso_for_object
i18n_initialize bindtextdomain@plt
bindtextdomain@plt .plt
.plt _dl_find_dso_for_object
i18n_initialize textdomain@plt
textdomain@plt .plt
.plt _dl_find_dso_for_object
main base_name
base_name last_component
base_name base_len
base_len strlen@plt
strlen@plt .plt
.plt _dl_find_dso_for_object
base_name xstrndup
xstrndup strndup@plt
strndup@plt .plt
.plt _dl_find_dso_for_object
main $exec_name
main strlen@plt
strlen@plt envz_strip
main strlen@plt
strlen@plt envz_strip
main malloc@plt
malloc@plt .plt
.plt _dl_find_dso_for_object
main $program_argstring
main strlen@plt
strlen@plt envz_strip
main memcpy@plt
memcpy@plt .plt
.plt _dl_find_dso_for_object
main strlen@plt
strlen@plt envz_strip
main memcpy@plt
memcpy@plt __nss_hosts_lookup
main defaults
defaults memset@plt
memset@plt .plt
.plt _dl_find_dso_for_object
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults getenv@plt
getenv@plt .plt
.plt _dl_find_dso_for_object
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
defaults $opt
main init_switches
$option_data init_switches
$option_data init_switches
init_switches $long_options
init_switches $long_options
$option_data init_switches
$option_data init_switches
